,end_station_name,end_lat,end_lng
652485,1 Ave & E 110 St,40.792,-73.938
5922452,1 Ave & E 16 St,40.732,-73.982
2186063,1 Ave & E 18 St,40.734,-73.981
9685347,1 Ave & E 30 St,40.741,-73.975
10886435,1 Ave & E 39 St,40.747,-73.971
4598635,1 Ave & E 44 St,40.75,-73.969
7754688,1 Ave & E 6 St,40.726,-73.986
4276320,1 Ave & E 62 St,40.761,-73.961
5102300,1 Ave & E 68 St,40.765,-73.958
7249053,1 Ave & E 78 St,40.771,-73.954
8538665,1 Ave & E 94 St,40.782,-73.946
286990,1 Pl & Clinton St,40.681,-73.999
10065745,1 St & 6 Ave,40.673,-73.98
5286897,10 Ave & W 14 St,40.742,-74.008
10164005,10 Ave & W 202 St,40.861,-73.921
978767,10 Ave & W 204 St,40.863,-73.92
5144068,10 Ave & W 207 St,40.865,-73.919
1198342,10 Ave & W 215 St,40.869,-73.915
5816022,10 Ave & W 28 St,40.751,-74.002
143013,10 St & 2 Ave,40.672,-73.994
4233779,10 St & 5 Ave,40.669,-73.987
10340377,10 St & 7 Ave,40.666,-73.982
9060099,11 Ave & Prospect Ave,40.656,-73.977
9153222,11 Ave & W 27 St,40.751,-74.005
4812347,11 Ave & W 41 St,40.76,-73.999
12155152,11 Ave & W 59 St,40.771,-73.99
110217,11 St & 43 Ave,40.752,-73.948
10527850,11 St & Washington St,40.75,-74.027
7660211,12 Ave & 36 St,40.644,-73.986
4788252,12 Ave & W 125 St,40.818,-73.96
8374737,12 Ave & W 40 St,40.761,-74.003
10803928,12 St & 4 Ave,40.669,-73.99
10720254,12 St & Sinatra Dr N,40.751,-74.024
2477348,14 St & 5 Ave,40.666,-73.989
5293953,14 St & 7 Ave,40.664,-73.984
6073299,14 St Ferry - 14 St & Shipyard Ln,40.753,-74.024
8534305,16th St & 4th Ave,40.666,-73.992
7127734,17 St & 5 Ave,40.663,-73.991
5097202,18 St & 27 Ave,40.773,-73.927
11210542,19 St & 24 Ave,40.777,-73.923
12241664,19 St & 8 Ave,40.658,-73.986
7027489,2 Av & 37 St,40.656,-74.01
4249910,2 Ave & 32 St,40.659,-74.007
3396987,2 Ave & 36 St,40.657,-74.009
2815223,2 Ave & E 104 St,40.789,-73.944
